post_id,platform,post_type,caption_length,likes,comments,shares,reach,impressions,post_date,weekday,total_engagement,engagement_rate
1,LinkedIn,Carousel,127,195,113,407,4094,27588,2024-01-01,Monday,715,17.464582315583783
2,Instagram,Carousel,24,273,150,405,22269,27123,2024-01-02,Tuesday,828,3.7181732453186047
3,LinkedIn,Text,122,1312,115,346,19603,34062,2024-01-03,Wednesday,1773,9.044533999897975
4,LinkedIn,Text,215,226,232,420,26310,11177,2024-01-04,Thursday,878,3.337134169517294
5,Instagram,Carousel,281,1852,115,182,20226,22727,2024-01-05,Friday,2149,10.624938198358548
6,Instagram,Text,66,902,38,1,5297,31220,2024-01-06,Saturday,941,17.76477251274306
7,LinkedIn,Image,163,1355,115,567,18650,10882,2024-01-07,Sunday,2037,10.922252010723861
8,Twitter,Image,288,112,268,371,20745,2136,2024-01-08,Monday,751,3.620149433598457
9,LinkedIn,Text,143,1290,373,431,1414,35832,2024-01-09,Tuesday,2094,148.0905233380481
10,LinkedIn,Text,125,1927,240,309,22576,32966,2024-01-10,Wednesday,2476,10.967399007795889
11,LinkedIn,Carousel,177,876,87,137,24877,8009,2024-01-11,Thursday,1100,4.421755034771073
12,LinkedIn,Video,166,844,46,202,10174,13987,2024-01-12,Friday,1092,10.733241596225673
13,Instagram,Text,164,738,105,436,20407,38311,2024-01-13,Saturday,1279,6.267457245062968
14,LinkedIn,Image,139,1534,10,313,24322,32575,2024-01-14,Sunday,1857,7.635062906011019
15,Twitter,Carousel,294,1683,184,117,3467,2007,2024-01-15,Monday,1984,57.2252668012691
16,Instagram,Text,111,154,286,575,25164,6445,2024-01-16,Tuesday,1015,4.033539977745986
17,Twitter,Image,77,1172,324,244,14209,11706,2024-01-17,Wednesday,1740,12.245759729748752
18,Twitter,Image,248,560,230,537,17314,30257,2024-01-18,Thursday,1327,7.664317893034539
19,Twitter,Video,136,434,319,75,3783,22736,2024-01-19,Friday,828,21.88739095955591
20,Twitter,Carousel,298,454,369,386,21462,43207,2024-01-20,Saturday,1209,5.633212188985183
